YYYY MM DD HH MN    UNIXtime   VAPID VAPMLT RMlat  GID  GMLT  GMlat   E/P   gr/sh
2013 03 02 04 02   1362186120.0   A  23.10   3.1   13 22.80   9.4    NaN   gradD
2013 04 04 03 48   1365036480.0   B  22.70   8.7   13 22.80   9.4    NaN   gradD
2013 05 01 10 27   1367393220.0   B   1.20   14.0   15  1.30   4.5    NaN   gradD
2013 08 22 06 30   1377142200.0   B  21.00   4.8   15 21.40   4.7    NaN   gradD
2013 08 22 06 45   1377143100.0   B  21.30   4.1   15 21.60   4.8    NaN   gradD
2014 12 12 12 36   1418376960.0   A   3.70   -4.0   15  3.90   4.3    NaN   gradD
2015 01 05 05 42   1420425720.0   B   1.20   1.9   13  0.70   9.8    NaN   gradD
2015 03 04 05 56   1425437760.0   A  20.80   -4.8   15 20.70   4.4    NaN   gradD
2015 06 11 03 48   1433983680.0   B  20.80   13.7   14 20.90   8.4    NaN   gradD
2016 09 03 08 48   1472881680.0   B  23.60   4.8   15 23.70   4.8    NaN   gradD
2016 09 30 03 33   1475195580.0   B  22.90   14.3   13 22.70   9.7    NaN   gradD
2016 12 11 09 33   1481437980.0   B   0.70   7.7   15  0.90   4.4    NaN   gradD
2017 01 27 04 25   1485480300.0   A  23.50   2.9   13 23.20   9.8    NaN   gradD
