YYYY MM DD HH MN    UNIXtime   VAPID VAPMLT RMlat  GID  GMLT  GMlat   E/P   gr/sh
2013 05 07 08 32   1367904720.0   B  23.00   11.0   15 23.40   4.5    NaN   sharp
2013 06 22 06 31   1371871860.0   B  21.70   15.1   15 21.40   4.6    NaN   sharp
2013 06 23 05 25   1371954300.0   A  20.70   15.0   15 20.40   4.7    NaN   sharp
2013 06 29 06 37   1372477020.0   A  21.50   14.1   15 21.50   4.6    NaN   sharp
2013 07 20 01 48   1374274080.0   B  20.60   18.6   13 20.90   9.7    NaN   sharp
2013 08 15 00 46   1376516760.0   A  20.00   15.3   13 19.80   9.8    NaN   sharp
2014 12 23 11 16   1419322560.0   B   2.40   -3.2   15  2.50   4.3    NaN   sharp
2015 02 19 06 58   1424318280.0   B  22.10   -4.0   15 21.80   4.4    NaN   sharp
2015 03 07 06 33   1425699180.0   A  21.50   -5.0   15 21.40   4.4    NaN   sharp
2015 03 16 06 29   1426476540.0   A  21.50   -4.4   15 21.30   4.4    NaN   sharp
2015 03 17 08 51   1426571460.0   B  23.50   -3.1   15 23.70   4.4    NaN   sharp
2015 03 19 07 07   1426738020.0   A  22.00   -4.0   15 22.00   4.4    NaN   sharp
2015 04 17 02 48   1429228080.0   A  21.40   4.6   13 21.90   9.4    NaN   sharp
2016 09 26 06 55   1474862100.0   A   0.50   16.8   14  0.10   8.5    NaN   sharp
2016 09 27 09 21   1474957260.0   A   0.10   11.2   15  0.50   4.7    NaN   sharp
2016 10 26 05 58   1477450680.0   B  23.80   18.3   14 23.30   8.5    NaN   sharp
2016 10 29 05 08   1477706880.0   B  22.60   17.3   14 22.40   8.5    NaN   sharp
2016 11 24 07 49   1479962940.0   B  23.40   13.9   15 23.20   4.6    NaN   sharp
2016 12 18 03 29   1482020940.0   A  22.50   14.9   13 22.50   9.6    NaN   sharp
2017 02 24 02 31   1487892660.0   A  21.10   2.3   13 21.30   9.5    NaN   sharp
2017 04 24 00 23   1492982580.0   A  19.10   0.0   13 19.50   9.4    NaN   sharp
