YYYY MM DD HH MN    UNIXtime   VAPID VAPMLT RMlat  GID  GMLT  GMlat   E/P   gr/sh
2012 11 14 03 46   1352853960.0   B   5.07   -8.60   #G   NaN   NaN    NaN    NaN
2013 02 17 12 19   1361092740.0   a   1.20   -6.3   #G   NaN   NaN   Elec    NaN
2013 02 28 23 11   1362082260.0   B   0.37   -5.46   #G   NaN   NaN    NaN    NaN
2013 03 01 07 56   1362113760.0   B   0.38   2.91   #G   NaN   NaN    NaN    NaN
2013 03 01 08 21   1362115260.0   B   0.70   3.46   #G   NaN   NaN    NaN    NaN
2013 03 02 04 02   1362186120.0   A  23.10   3.1   13 22.80   9.4    NaN   gradD
2013 03 17 14 24   1363519440.0   B   1.33   -3.80   #G   NaN   NaN    NaN    NaN
2013 03 17 15 36   1363523760.0   B   2.29   -1.83   #G   NaN   NaN    NaN    NaN
2013 03 17 22 04   1363547040.0   b   0.40   -4.3   #G   NaN   NaN   Both    NaN
2013 03 17 22 15   1363547700.0   b   0.50   -3.8   #G   NaN   NaN   Hion    NaN
2013 03 17 22 16   1363547760.0   A  23.69   -3.65   #G   NaN   NaN    NaN    NaN
2013 03 17 22 17   1363547820.0   b   0.50   -3.7   #G   NaN   NaN   Both    NaN
2013 03 20 23 24   1363811040.0   A   0.56   -0.01   #G   NaN   NaN    NaN    NaN
2013 03 20 23 25   1363811100.0   B   1.07   -0.11   #G   NaN   NaN    NaN    NaN
2013 03 21 06 31   1363836660.0   B  23.72   7.04   #G   NaN   NaN    NaN    NaN
2013 03 23 22 53   1364068380.0   A   0.25   -0.59   #G   NaN   NaN    NaN    NaN
2013 03 29 15 51   1364561460.0   B   1.34   -3.76   #G   NaN   NaN    NaN    NaN
2013 03 29 15 53   1364561580.0   A   1.71   -2.18   #G   NaN   NaN    NaN    NaN
2013 04 04 03 48   1365036480.0   B  22.70   8.7   13 22.80   9.4    NaN   gradD
2013 04 16 21 01   1366135260.0   A  23.25   0.54   #G   NaN   NaN    NaN    NaN
2013 04 24 11 07   1366790820.0   B  21.67   -4.51   #G   NaN   NaN    NaN    NaN
2013 04 24 13 57   1366801020.0   B  23.77   -1.16   #G   NaN   NaN    NaN    NaN
2013 04 24 19 30   1366821000.0   b  21.20   -1.6   #G   NaN   NaN   Elec    NaN
2013 04 24 19 40   1366821600.0   A   0.48   -0.57   #G   NaN   NaN    NaN    NaN
2013 04 26 23 15   1367007300.0   a  22.80   8.5   #G   NaN   NaN   Both    NaN
2013 05 01 10 10   1367392200.0   A  21.62   -0.74   #G   NaN   NaN    NaN    NaN
2013 05 01 10 27   1367393220.0   B   1.20   14.0   15  1.30   4.5    NaN   gradD
2013 05 01 11 19   1367396340.0   a  22.50   0.9   #G   NaN   NaN   Both    NaN
2013 05 01 11 20   1367396400.0   A  22.50   0.89   #G   NaN   NaN    NaN    NaN
2013 05 01 13 34   1367404440.0   A   0.09   2.16   #G   NaN   NaN    NaN    NaN
2013 05 01 13 54   1367405640.0   A   0.38   2.43   #G   NaN   NaN    NaN    NaN
2013 05 01 18 58   1367423880.0   B   1.04   -0.44   #G   NaN   NaN    NaN    NaN
2013 05 01 19 30   1367425800.0   A  22.26   0.37   #G   NaN   NaN    NaN    NaN
2013 05 01 20 12   1367428320.0   A  22.84   1.99   #G   NaN   NaN    NaN    NaN
2013 05 07 08 32   1367904720.0   B  23.00   11.0   15 23.40   4.5    NaN   sharp
2013 05 14 11 39   1368520740.0   b  22.40   2.3   #G   NaN   NaN   Both    NaN
2013 05 14 12 12   1368522720.0   B  22.80   2.27   #G   NaN   NaN    NaN    NaN
2013 05 16 20 50   1368726600.0   a  23.40   5.7   #G   NaN   NaN   Hion    NaN
2013 05 16 21 13   1368727980.0   A  23.74   6.31   #G   NaN   NaN    NaN    NaN
2013 05 17 21 26   1368815160.0   b  23.30   7.5   #G   NaN   NaN   Elec    NaN
2013 05 18 05 26   1368843960.0   A  20.25   7.65   #G   NaN   NaN    NaN    NaN
2013 05 19 07 45   1368938700.0   b  21.40   8.0   #G   NaN   NaN   Both    NaN
2013 05 24 13 43   1369392180.0   B  20.86   -3.54   #G   NaN   NaN    NaN    NaN
2013 05 25 11 31   1369470660.0   a  22.60   4.8   #G   NaN   NaN   Hion    NaN
2013 05 25 19 51   1369500660.0   a  22.80   5.2   #G   NaN   NaN   Hion    NaN
2013 05 25 19 52   1369500720.0   b  23.60   4.0   #G   NaN   NaN   Both    NaN
2013 05 25 19 55   1369500900.0   B  23.60   4.08   #G   NaN   NaN    NaN    NaN
2013 06 06 08 22   1370496120.0   A  20.43   5.67   #G   NaN   NaN    NaN    NaN
2013 06 22 06 31   1371871860.0   B  21.70   15.1   15 21.40   4.6    NaN   sharp
2013 06 23 05 25   1371954300.0   A  20.70   15.0   15 20.40   4.7    NaN   sharp
2013 06 23 17 44   1371998640.0   b  21.40   4.0   #G   NaN   NaN   Both    NaN
2013 06 28 18 32   1372433520.0   a  19.50   9.8   #G   NaN   NaN   Both    NaN
2013 06 29 06 37   1372477020.0   A  21.50   14.1   15 21.50   4.6    NaN   sharp
2013 06 29 09 16   1372486560.0   b  20.80   6.3   #G   NaN   NaN   Both    NaN
2013 06 29 10 47   1372492020.0   b  21.90   4.8   #G   NaN   NaN   Both    NaN
2013 06 29 11 02   1372492920.0   B  22.12   4.54   #G   NaN   NaN    NaN    NaN
2013 07 10 12 37   1373449020.0   A  21.46   -0.12   #G   NaN   NaN    NaN    NaN
2013 07 10 12 48   1373449680.0   a  21.60   -0.4   #G   NaN   NaN   Elec    NaN
2013 07 11 13 06   1373537160.0   A  19.67   -0.04   #G   NaN   NaN    NaN    NaN
2013 07 14 11 20   1373790000.0   b  20.90   1.2   #G   NaN   NaN   Both    NaN
2013 07 14 11 21   1373790060.0   B  20.93   1.17   #G   NaN   NaN    NaN    NaN
2013 07 14 11 42   1373791320.0   B  21.21   0.68   #G   NaN   NaN    NaN    NaN
2013 07 14 16 50   1373809800.0   b  18.50   8.0   #G   NaN   NaN   Both    NaN
2013 07 15 09 20   1373869200.0   a  21.30   5.5   #G   NaN   NaN   Elec    NaN
2013 07 15 09 46   1373870760.0   A  21.64   4.80   #G   NaN   NaN    NaN    NaN
2013 07 19 11 51   1374223860.0   A  20.92   -0.38   #G   NaN   NaN    NaN    NaN
2013 07 19 18 06   1374246360.0   A  19.41   9.49   #G   NaN   NaN    NaN    NaN
2013 07 20 01 48   1374274080.0   B  20.60   18.6   13 20.90   9.7    NaN   sharp
2013 07 26 13 26   1374834360.0   A  20.00   -1.47   #G   NaN   NaN    NaN    NaN
2013 07 26 13 47   1374835620.0   A  20.25   -1.79   #G   NaN   NaN    NaN    NaN
2013 08 05 06 02   1375671720.0   b  19.60   9.2   #G   NaN   NaN   Elec    NaN
2013 08 15 00 46   1376516760.0   A  20.00   15.3   13 19.80   9.8    NaN   sharp
2013 08 22 06 30   1377142200.0   B  21.00   4.8   15 21.40   4.7    NaN   gradD
2013 08 22 06 45   1377143100.0   B  21.30   4.1   15 21.60   4.8    NaN   gradD
2013 08 27 18 19   1377616740.0   a  19.70   3.0   #G   NaN   NaN   Elec    NaN
2013 08 27 18 20   1377616800.0   A  19.75   3.02   #G   NaN   NaN    NaN    NaN
2013 09 19 05 14   1379556840.0   A  19.10   1.08   #G   NaN   NaN    NaN    NaN
2013 10 02 04 59   1380679140.0   B  18.39   -1.12   #G   NaN   NaN    NaN    NaN
2013 10 02 22 57   1380743820.0   B  18.24   8.64   #G   NaN   NaN    NaN    NaN
2014 09 12 01 11   1410473460.0   B   4.04   5.61   #G   NaN   NaN    NaN    NaN
2014 10 14 17 41   1413297660.0   A   4.47   -2.98   #G   NaN   NaN    NaN    NaN
2014 10 15 01 52   1413327120.0   A   3.87   2.50   #G   NaN   NaN    NaN    NaN
2014 11 04 14 30   1415100600.0   A   2.46   -0.40   #G   NaN   NaN    NaN    NaN
2014 11 22 21 38   1416681480.0   B   1.44   -4.95   #G   NaN   NaN    NaN    NaN
2014 12 01 21 40   1417459200.0   b   0.60   -3.3   #G   NaN   NaN   Elec    NaN
2014 12 01 21 44   1417459440.0   b   0.60   -3.5   #G   NaN   NaN   Elec    NaN
2014 12 03 01 53   1417560780.0   b   1.40   2.5   #G   NaN   NaN   Both    NaN
